CCG or Health Board;Practice Name;Abtard;Ebesque XL;Fencino;Venlalic XL;Grand Total
ABERTAWE BRO MORGAN UNI;;69 616,00;190 025,00;45 131,00;47 787,00;352 559,00
ANEURIN BEVAN;;131 456,00;236 293,00;62 559,00;90 573,00;520 881,00
BETSI CADWALADR UNI;;202 575,00;135 190,00;103 815,00;108 523,00;550 103,00
CARDIFF & VALE UNIVERSTY;;353 495,00;85 184,00;28 503,00;56 457,00;523 639,00
CWM TAF;;162 870,00;101 009,00;28 210,00;29 184,00;321 273,00
HYWEL DDA;;148 033,00;152 628,00;68 064,00;59 520,00;428 245,00
NHS AIRED WHARF CRVE CCG;;47 786,00;18 340,00;28 153,00;21 867,00;116 146,00
NHS ASHFORD CCG;;12 128,00;46 726,00;12 562,00;10 031,00;81 447,00
NHS AYLESBURY VALE CCG;;34 388,00;6 152,00;12 452,00;19 641,00;72 633,00
NHS BANES CCG;;16 178,00;27 452,00;25 752,00;53 216,00;122 598,00
NHS BARKNG & DAGENHM CCG;;38 920,00;57 833,00;29 324,00;23 157,00;149 234,00
NHS BARNET CCG;;76 187,00;83 214,00;23 068,00;41 915,00;224 384,00
NHS BARNSLEY CCG;;37 284,00;68 447,00;89 139,00;19 310,00;214 180,00
NHS BASLDN & BRENTWD CCG;;68 502,00;85 295,00;23 102,00;16 145,00;193 044,00
NHS BASSETLAW CCG;;43 687,00;31 469,00;44 696,00;17 973,00;137 825,00
NHS BEDFORDSHIRE CCG;;62 997,00;70 591,00;29 607,00;29 359,00;192 554,00
NHS BEXLEY CCG;;50 859,00;35 747,00;17 837,00;24 637,00;129 080,00
NHS BIRMINGHAM S & C CCG;;51 246,00;107 096,00;13 926,00;16 923,00;189 191,00
NHS BLACKB WTH DARWN CCG;;63 156,00;14 446,00;47 293,00;7 579,00;132 474,00
NHS BLACKPOOL CCG;;86 588,00;40 430,00;53 229,00;48 644,00;228 891,00
NHS BMNGHM CROSS CTY CCG;;229 156,00;274 319,00;107 328,00;69 475,00;680 278,00
NHS BOLTON CCG;;102 320,00;38 883,00;48 521,00;33 932,00;223 656,00
NHS BRACKNLL & ASCOT CCG;;18 529,00;15 102,00;7 015,00;5 224,00;45 870,00
NHS BRADFORD CITY CCG;;12 692,00;32 136,00;17 142,00;9 614,00;71 584,00
NHS BRADFORD DIST CCG;;150 007,00;88 119,00;121 715,00;68 652,00;428 493,00
NHS BRENT CCG;;34 061,00;163 372,00;30 042,00;14 620,00;242 095,00
NHS BRIGHTON & HOVE CCG;;38 218,00;100 958,00;27 979,00;23 781,00;190 936,00
NHS BRISTOL CCG;;34 431,00;37 637,00;30 188,00;41 361,00;143 617,00
NHS BROMLEY CCG;;76 508,00;63 416,00;30 929,00;37 081,00;207 934,00
NHS BURY CCG;;121 431,00;28 694,00;50 311,00;13 222,00;213 658,00
NHS CALDERDALE CCG;;72 375,00;81 594,00;40 574,00;19 438,00;213 981,00
NHS CAMBRDG & PBORO CCG;;156 515,00;103 990,00;71 951,00;61 617,00;394 073,00
NHS CAMDEN CCG;;51 690,00;55 676,00;28 579,00;25 071,00;161 016,00
NHS CANNOCK CHASE CCG;;25 778,00;24 415,00;9 697,00;10 361,00;70 251,00
NHS CANTERBY & COAST CCG;;37 583,00;103 322,00;35 230,00;16 925,00;193 060,00
NHS CASTLE PT & ROCH CCG;;43 866,00;31 996,00;25 064,00;11 894,00;112 820,00
NHS CENTRAL LONDON CCG;;23 786,00;31 839,00;16 185,00;6 282,00;78 092,00
NHS CENTRAL MANCHSTR CCG;;77 490,00;149 406,00;31 117,00;13 772,00;271 785,00
NHS CHILTERN CCG;;39 969,00;11 597,00;21 743,00;23 285,00;96 594,00
NHS CHORLEY & S RIBB CCG;;103 658,00;22 462,00;38 903,00;16 124,00;181 147,00
NHS CITY AND HACKNEY CCG;;31 874,00;43 487,00;19 082,00;7 893,00;102 336,00
NHS COASTAL W SUSSEX CCG;;256 804,00;157 182,00;149 465,00;65 196,00;628 647,00
NHS CORBY CCG;;1 624,00;1 463,00;2 250,00;1 703,00;7 040,00
NHS COVENTRY & RUGBY CCG;;118 645,00;116 783,00;48 500,00;52 101,00;336 029,00
NHS CRAWLEY CCG;;33 641,00;30 185,00;28 300,00;16 117,00;108 243,00
NHS CROYDON CCG;;41 446,00;73 681,00;44 386,00;12 471,00;171 984,00
NHS CUMBRIA CCG;;242 636,00;262 821,00;103 775,00;130 920,00;740 152,00
NHS DARLINGTON CCG;;64 994,00;30 675,00;49 799,00;8 161,00;153 629,00
NHS DARTF GRVES SWAN CCG;;109 470,00;175 393,00;52 945,00;41 161,00;378 969,00
NHS DONCASTER CCG;;176 768,00;52 708,00;197 335,00;48 455,00;475 266,00
NHS DORSET CCG;;269 005,00;63 455,00;235 190,00;293 180,00;860 830,00
NHS DUDLEY CCG;;63 243,00;55 360,00;65 497,00;39 334,00;223 434,00
NHS DURH EASING SEDG CCG;;214 754,00;112 400,00;121 466,00;27 539,00;476 159,00
NHS E & N HERTS CCG;;113 011,00;114 764,00;120 870,00;70 117,00;418 762,00
NHS E LEICESTR & RUT CCG;;65 657,00;91 803,00;56 656,00;51 715,00;265 831,00
NHS E RIDING OF YORK CCG;;118 218,00;61 555,00;73 142,00;77 426,00;330 341,00
NHS EALING CCG;;38 188,00;192 586,00;37 588,00;12 909,00;281 271,00
NHS EAST LANCASHIRE CCG;;237 608,00;51 833,00;86 377,00;17 720,00;393 538,00
NHS EAST STAFFORDSHR CCG;;34 876,00;35 578,00;35 084,00;13 267,00;118 805,00
NHS EAST SURREY CCG;;41 632,00;35 408,00;14 221,00;14 030,00;105 291,00
NHS EASTB HAILS SEAF CCG;;37 155,00;62 325,00;19 919,00;15 640,00;135 039,00
NHS EASTERN CHESHIRE CCG;;16 559,00;7 850,00;12 939,00;19 938,00;57 286,00
NHS ENFIELD CCG;;67 848,00;44 507,00;18 875,00;22 250,00;153 480,00
NHS EREWASH CCG;;21 149,00;31 590,00;9 405,00;4 277,00;66 421,00
