CCG or Health Board;Practice Name;Abtard;Ebesque XL;Fencino;Venlalic XL;Grand Total
ABERTAWE BRO MORGAN UNI;36 Victoria Avenue;834,00;0,00;801,00;576,00;2 211,00
ABERTAWE BRO MORGAN UNI;Abmu GP OOH Service;105,00;38,00;119,00;8,00;270,00
ABERTAWE BRO MORGAN UNI;Abmu GP OOH Service, C/O The Grove Medical Centre;0,00;0,00;0,00;0,00;0,00
ABERTAWE BRO MORGAN UNI;Alfred St. Primary Care Centre;75,00;1 233,00;0,00;22,00;1 330,00
ABERTAWE BRO MORGAN UNI;Amman Tawe Partnership;695,00;1 043,00;384,00;2,00;2 124,00
ABERTAWE BRO MORGAN UNI;Ashfield Surgery;695,00;2 405,00;103,00;755,00;3 958,00
ABERTAWE BRO MORGAN UNI;Blaengwynfi Health Centre;1 062,00;2 792,00;589,00;249,00;4 692,00
ABERTAWE BRO MORGAN UNI;Briton Ferry Health Centre;0,00;0,00;0,00;0,00;0,00
ABERTAWE BRO MORGAN UNI;Bron Y Garn Surgery;4 397,00;3 565,00;38,00;1 153,00;9 153,00
ABERTAWE BRO MORGAN UNI;Brunswick Health Centre;109,00;670,00;1 520,00;0,00;2 299,00
ABERTAWE BRO MORGAN UNI;Brynhyfryd Surgery;566,00;4 113,00;29,00;194,00;4 902,00
ABERTAWE BRO MORGAN UNI;Castle Surgery;4 380,00;4 853,00;1 184,00;5,00;10 422,00
ABERTAWE BRO MORGAN UNI;Cheriton Medical Centre;0,00;213,00;0,00;0,00;213,00
ABERTAWE BRO MORGAN UNI;Clase Surgery;264,00;1 677,00;240,00;380,00;2 561,00
ABERTAWE BRO MORGAN UNI;Clydach Primary Care Centre;221,00;2 340,00;413,00;120,00;3 094,00
ABERTAWE BRO MORGAN UNI;Cockett Surgery;6,00;1 020,00;792,00;384,00;2 202,00
ABERTAWE BRO MORGAN UNI;Cwm Garw Practice;2 635,00;3 212,00;1 155,00;2 783,00;9 785,00
ABERTAWE BRO MORGAN UNI;Cwmavon Health Centre;1 747,00;1 946,00;908,00;57,00;4 658,00
ABERTAWE BRO MORGAN UNI;Cwmfelin Medical Centre;934,00;2 733,00;145,00;487,00;4 299,00
ABERTAWE BRO MORGAN UNI;Cwmllynfell Surgery;0,00;0,00;0,00;0,00;0,00
ABERTAWE BRO MORGAN UNI;Dr C Locum's Practice;101,00;784,00;395,00;5,00;1 285,00
ABERTAWE BRO MORGAN UNI;Dulais Valley Prim Care Ctre;159,00;336,00;468,00;466,00;1 429,00
ABERTAWE BRO MORGAN UNI;Fairfield Medical Centre;129,00;8 863,00;250,00;585,00;9 827,00
ABERTAWE BRO MORGAN UNI;Fforestfach Medical Group;1 561,00;930,00;369,00;0,00;2 859,00
ABERTAWE BRO MORGAN UNI;Gower Medical Practice;36,00;818,00;223,00;22,00;1 099,00
ABERTAWE BRO MORGAN UNI;Gowerton Medical Centre;790,00;1 591,00;769,00;486,00;3 636,00
ABERTAWE BRO MORGAN UNI;Harbourside Health Centre;342,00;1 874,00;144,00;337,00;2 697,00
ABERTAWE BRO MORGAN UNI;Health Centre;1 642,00;4 799,00;182,00;354,00;6 977,00
