CCG or Health Board;;Abtard;Ebesque XL;Fencino;Venlalic XL;Zomorph;Grand Total
ABERTAWE BRO MORGAN UNI;;51 030,18;143 126,95;35 172,05;48 125,64;149 932,10;427 386,92
AIREDALE, WHARFEDALE AND CRAVEN CCG;;24 133,39;17 002,60;27 740,38;16 468,61;6 312,87;91 657,85
ANEURIN BEVAN;;124 162,94;132 066,98;59 276,29;89 198,57;133 161,77;537 866,55
ASHFORD CCG;;9 537,31;19 444,66;12 262,36;7 387,17;2 834,13;51 465,63
AYLESBURY VALE CCG;;25 837,41;7 542,29;11 992,62;20 720,49;3 128,09;69 220,90
BARKING & DAGENHAM CCG;;40 221,53;43 541,35;31 720,15;23 630,62;9 004,22;148 117,87
BARNET CCG;;60 308,47;81 244,23;19 486,02;30 278,76;13 360,06;204 677,54
BARNSLEY CCG;;20 592,03;27 272,67;57 931,08;18 977,82;7 562,60;132 336,20
BASILDON AND BRENTWOOD CCG;;55 536,50;68 042,01;18 521,47;15 554,16;10 787,15;168 441,29
BASSETLAW CCG;;31 133,19;31 610,61;39 638,92;13 800,88;14 216,77;130 400,37
BATH AND NORTH EAST SOMERSET CCG;;14 331,58;20 766,05;22 787,34;52 516,77;5 719,98;116 121,72
BEDFORDSHIRE CCG;;47 414,57;52 351,88;25 140,58;31 019,84;16 419,02;172 345,89
BETSI CADWALADR UNI;;137 164,70;109 413,41;95 360,31;115 405,12;68 442,59;525 786,13
BEXLEY CCG;;42 205,91;32 627,94;17 903,00;22 840,06;7 340,56;122 917,47
BIRMINGHAM CROSSCITY CCG;;203 920,76;153 963,93;99 200,98;64 132,12;35 339,48;556 557,27
BIRMINGHAM SOUTH AND CENTRAL CCG;;54 360,22;89 182,15;18 487,46;22 384,69;12 833,40;197 247,92
BLACKBURN WITH DARWEN CCG;;31 053,40;11 938,80;42 789,45;9 411,51;32 792,77;127 985,93
BLACKPOOL CCG;;73 704,71;15 663,92;34 078,28;43 409,67;45 484,70;212 341,28
BOLTON CCG;;64 050,09;17 331,56;46 542,33;25 768,94;13 594,34;167 287,26
BRACKNELL AND ASCOT CCG;;15 192,88;14 238,89;6 376,12;5 625,72;1 829,70;43 263,31
BRADFORD CITY CCG;;10 668,35;28 354,34;17 270,96;9 748,04;4 684,61;70 726,30
BRADFORD DISTRICTS CCG;;133 660,45;68 152,07;104 927,81;68 496,91;36 896,71;412 133,95
BRENT CCG;;35 094,88;156 176,05;30 884,37;14 266,60;5 834,53;242 256,43
BRIGHTON & HOVE CCG;;31 720,20;62 820,16;27 621,08;25 973,21;16 978,53;165 113,18
BRISTOL CCG;;21 198,70;26 045,75;27 976,97;27 009,23;9 253,16;111 483,81
BROMLEY CCG;;71 606,43;68 916,24;28 153,78;42 206,33;4 817,36;215 700,14
BURY CCG;;48 629,50;24 507,92;26 182,86;17 557,41;8 562,32;125 440,01
CALDERDALE CCG;;41 561,92;49 857,93;42 811,98;21 915,15;7 044,32;163 191,30
CAMBRIDGESHIRE AND PETERBOROUGH CCG;;108 416,07;41 280,14;64 306,71;50 162,97;42 278,78;306 444,67
CAMDEN CCG;;50 346,29;59 908,77;27 600,42;24 953,14;6 751,47;169 560,09
CANNOCK CHASE CCG;;15 449,79;15 724,64;10 915,71;12 347,82;7 471,22;61 909,18
CANTERBURY AND COASTAL CCG;;26 701,18;42 594,48;34 163,32;18 252,97;10 553,91;132 265,86
CARDIFF & VALE UNIVERSTY;;360 349,68;38 895,47;27 880,06;58 310,95;86 303,49;571 739,65
CASTLE POINT AND ROCHFORD CCG;;42 946,89;31 519,69;24 834,40;12 850,50;9 619,14;121 770,62
CENTRAL LONDON (WESTMINSTER) CCG;;17 317,31;10 709,35;10 344,99;6 717,57;8 251,12;53 340,34
CENTRAL MANCHESTER CCG;;72 159,15;107 074,14;30 226,65;12 831,97;3 622,91;225 914,82
CHILTERN CCG;;27 628,75;11 550,19;20 293,81;24 327,61;4 024,94;87 825,30
CHORLEY AND SOUTH RIBBLE CCG;;80 949,48;18 637,64;34 748,65;14 172,78;18 702,13;167 210,68
CITY AND HACKNEY CCG;;18 775,62;24 516,03;15 991,01;8 448,43;8 473,66;76 204,75
COASTAL WEST SUSSEX CCG;;249 815,29;155 241,14;152 137,48;74 337,90;37 826,92;669 358,73
CORBY CCG;;1 557,33;710,37;2 081,02;1 776,24;3 047,06;9 172,02
COVENTRY AND RUGBY CCG;;79 205,34;52 242,14;46 772,21;50 583,49;37 998,28;266 801,46
CRAWLEY CCG;;33 199,95;28 416,74;28 904,87;17 000,15;7 693,62;115 215,33
CROYDON CCG;;44 028,10;81 368,10;44 094,70;11 692,88;9 199,91;190 383,69
CUMBRIA CCG;;190 165,81;244 848,17;96 326,46;125 788,11;47 477,89;704 606,44
CWM TAF;;164 523,50;94 874,26;26 281,14;27 303,72;48 495,27;361 477,89
DARLINGTON CCG;;58 521,65;33 829,92;48 755,27;8 138,27;3 914,92;153 160,03
DARTFORD, GRAVESHAM AND SWANLEY CCG;;94 687,48;160 354,14;47 474,25;33 175,86;12 001,46;347 693,19
DONCASTER CCG;;162 302,63;45 529,69;201 028,08;46 857,49;33 097,00;488 814,89
DORSET CCG;;274 672,41;64 542,24;246 161,56;279 288,32;57 901,13;922 565,66
DUDLEY CCG;;56 766,90;37 262,95;62 298,71;37 862,30;15 623,85;209 814,71
DURHAM DALES,EASINGTON & SEDGEFIELD CCG;;160 260,91;115 020,22;117 051,97;28 113,17;29 792,03;450 238,30
EALING CCG;;22 672,57;114 781,72;30 929,16;14 491,89;3 643,13;186 518,47
EAST AND NORTH HERTFORDSHIRE CCG;;95 057,31;105 521,01;101 160,73;71 737,19;57 490,13;430 966,37
EAST LANCASHIRE CCG;;131 173,34;24 533,97;64 168,74;18 266,07;49 249,93;287 392,05
EAST LEICESTERSHIRE AND RUTLAND CCG;;41 942,45;59 627,75;43 760,19;40 350,99;5 742,15;191 423,53
EAST RIDING OF YORKSHIRE CCG;;83 361,66;49 131,75;67 659,59;67 885,29;18 990,61;287 028,90
EAST STAFFORDSHIRE CCG;;27 106,70;29 597,84;33 408,80;11 315,93;9 560,92;110 990,19
